경찰서,경찰차
종로구,33
중 구,29
용산구,25
성동구,22
광진구,28
동대문구,31
중랑구,24
성북구,29
강북구,23
도봉구,18
노원구,27
은평구,16
서대문구,25
마포구,31
양천구,22
강서구,30
구로구,24
금천구,18
영등포구,32
동작구,25
관악구,34
서초구,30
강남구,50
송파구,36
강동구,28
