경찰서,경찰관
종로구,1131
중 구,1021
용산구,719
성동구,641
광진구,745
동대문구,837
중랑구,776
성북구,930
강북구,679
도봉구,567
노원구,810
은평구,470
서대문구,692
마포구,902
양천구,754
강서구,946
구로구,761
금천구,585
영등포구,1009
동작구,672
관악구,913
서초구,1121
강남구,1569
송파구,1047
강동구,768
